Lag - AC,Amplitude - AC
561,0.00156214
562,0.015324
563,0.0285401
564,0.0556385
565,0.0502857
566,-0.00763821
567,-0.0578077
568,-0.0518143
569,-0.0244475
570,-0.0145467
571,0.00511327
572,0.053603
573,0.0773354
574,0.0350703
575,-0.0235772
576,-0.0407915
577,-0.0391869
578,-0.0525451
579,-0.0451918
580,0.0144607
581,0.0708481
582,0.0622866
583,0.0210801
584,0.00337755
585,-0.00862034
586,-0.047499
587,-0.0708652
588,-0.0299776
589,0.032441
590,0.0486939
591,0.0332746
592,0.0310781
593,0.0230254
594,-0.0254707
595,-0.0728483
596,-0.0586648
597,-0.00595194
598,0.0235924
599,0.0312919
600,0.0509076
601,0.0615337
602,0.0206313
603,-0.0439749
604,-0.0670361
605,-0.0450632
606,-0.0234126
607,-0.00803173
608,0.028406
609,0.0678641
610,0.0592812
611,0.00671332
612,-0.0328017
613,-0.0381557
614,-0.0389127
615,-0.0398542
616,-0.00919329
617,0.0457579
618,0.0680641
619,0.0375287
620,-0.00155459
621,-0.0193571
622,-0.037439
623,-0.061228
624,-0.0503232
625,0.00668791
626,0.0558737
627,0.0573001
628,0.0379536
629,0.0257303
630,-0.00105528
631,-0.051205
632,-0.0756222
633,-0.0413219
634,0.00947304
635,0.0294524
636,0.0352762
637,0.0500431
638,0.0424724
639,-0.0106766
640,-0.0603158
641,-0.0548715
642,-0.0199954
643,-0.0012722
644,0.0147342
645,0.0505621
646,0.068013
647,0.0273261
648,-0.0322827
649,-0.0520995
650,-0.0429147
651,-0.0407539
652,-0.0272092
653,0.0246191
654,0.0736382
655,0.0642806
656,0.0181078
657,-0.0110675
658,-0.0246222
659,-0.049777
660,-0.0625242
661,-0.0249634
662,0.0342585
663,0.0559042
664,0.0394874
665,0.0230878
666,0.00779765
667,-0.029013
668,-0.0646242
669,-0.0531015
670,-0.00297352
671,0.0343106
672,0.0428522
673,0.0461069
674,0.0432272
675,0.00758665
676,-0.0479237
677,-0.0715192
678,-0.0471829
679,-0.0115058
680,0.0120686
681,0.0379172
682,0.0638704
683,0.054482
684,0.00366088
685,-0.0420273
686,-0.0495928
687,-0.0385032
688,-0.0278129
689,-0.000741443
690,0.0448257
691,0.0658585
692,0.0361077
693,-0.00933694
694,-0.0312684
695,-0.039911
696,-0.0502856
697,-0.0372926
698,-0.0262595
699,0.0617176
700,0.0613638
701,0.0314781
702,0.00796539
703,-0.0164633
704,-0.0545045
705,-0.0719649
706,-0.0367332
707,0.0183828
708,0.0432998
709,0.0432927
710,0.0444703
711,0.0314207
712,-0.0162907
713,-0.0617877
714,-0.0569959
715,-0.0181196
716,0.00919235
717,0.0245392
718,0.0477041
719,0.0566259
720,0.0194166
721,-0.0363914
722,-0.0582191
723,-0.0448968
724,-0.0281676
725,-0.00743809
726,0.0338702
727,0.0706659
728,0.0604506
729,0.0131836
730,-0.0253689
731,-0.0411097
732,-0.051315
733,-0.0504751
734,-0.0158973
735,0.0370754
736,0.061925
737,0.0453486
738,0.0163781
739,-0.00691721
740,-0.0337353
741,-0.057075
742,-0.046759
743,-0.00072855
744,0.0408843
745,0.0502886
746,0.040819
747,0.026122
748,-0.00514389
749,-0.0497483
750,-0.0699369
751,-0.0437041
752,0.000833964
753,0.0298512
754,0.0462811
755,0.0578706
756,0.0444225
757,-0.00389131
758,-0.0508841
759,-0.0587214
760,-0.0379381
761,-0.0158348
762,0.0103064
763,0.0463233
764,0.0629281
765,0.0339752
766,-0.0144175
767,-0.0399931
768,-0.0425383
769,-0.0409049
770,-0.0243622
771,0.0205464
772,0.0624548
773,0.0601218
774,0.0240473
775,-0.00797374
776,-0.0304931
777,-0.0552651
778,-0.062692
779,-0.0272217
780,0.0274728
781,0.0548527
782,0.0502215
783,0.0373752
784,0.016393
785,-0.0249815
786,-0.0622429
787,-0.0572334
788,-0.0171557
789,0.0181715
790,0.0353688
791,0.046278
792,0.0446934
793,0.0115552
794,-0.0370418
795,-0.0600603
796,-0.0454351
797,-0.0167566
798,0.0107096
799,0.0407793
800,0.0632916
801,0.0516195
802,0.00622672
803,-0.0376986
804,-0.0542819
805,-0.0504596
806,-0.0356793
807,-0.00287025
808,0.0420411
809,0.0658409
810,0.0481145
811,0.00933154
812,-0.0211278
813,-0.0403856
814,-0.0517893
815,-0.0398908
816,0.00216667
817,0.0447983
818,0.0547434
819,0.0364089
820,0.011989
821,-0.0161764
822,-0.0494703
823,-0.0636632
824,-0.0365605
825,0.0117695
826,0.0435384
827,0.0518078
828,0.0492409
829,0.0300552
830,-0.0142956
831,-0.0578494
832,-0.0638639
833,-0.0353539
834,-0.00278157
835,0.0237536
836,0.0494719
837,0.058587
838,0.0299525
839,-0.018644
840,-0.0472098
841,-0.0461478
842,-0.0333286
843,-0.011722
844,0.0259276
845,0.0595852
846,0.055704
847,0.0176023
848,-0.0206712
849,-0.0422147
850,-0.053377
851,-0.0490101
852,-0.0148989
853,0.034735
854,0.0624555
855,0.0544913
856,0.0280678
857,-0.00192478
858,-0.0354201
859,-0.060847
860,-0.0544067
861,-0.0151758
862,0.0269182
863,0.046974
864,0.0464931
865,0.0331389
866,0.00321899
867,-0.0369096
868,-0.0595288
869,-0.045025
870,-0.00773205
871,0.025273
872,0.0454879
873,0.0538241
874,0.0396503
875,-0.00181484
876,-0.0462758
877,-0.0619485
878,-0.0467078
879,-0.0194191
880,0.0125453
881,0.0475638
882,0.0657374
883,0.0459387
884,0.00097969
885,-0.0348756
886,-0.048336
887,-0.04753
888,-0.0309637
889,0.00728596
890,0.0476692
891,0.0575085
892,0.0335417
893,0.000778809
894,-0.0262999
895,-0.0485861
896,-0.0547795
897,-0.0279068
898,0.0195683
899,0.052026
900,0.0544484
901,0.039196
902,0.0133941
903,-0.0254087
904,-0.060844
905,-0.0632834
906,-0.0300688
907,0.0106683
908,0.03834
909,0.0530657
910,0.0513899
911,0.0222691
912,-0.0233814
913,-0.053321
914,-0.0507014
915,-0.0276679
916,0.00106988
917,0.0320086
918,0.0550909
919,0.0493563
920,0.012881
921,-0.0290315
922,-0.0508169
923,-0.0500863
924,-0.0335329
925,-0.00132012
926,0.039626
927,0.0644182
928,0.0539987
929,0.0172467
930,-0.0203523
931,-0.0461292
932,-0.0578187
933,-0.0468922
934,-0.00907669
935,0.0356059
936,0.0568703
937,0.0474121
938,0.0228651
939,-0.00698407
940,-0.0392454
941,-0.0577784
942,-0.042578
943,-0.00123257
944,0.0350702
945,0.0489949
946,0.0457063
947,0.027025
948,-0.0104069
949,-0.0505077
950,-0.063072
951,-0.0406076
952,-0.00452987
953,0.0274911
954,0.0525606
955,0.0611048
956,0.0377478
957,-0.00894386
958,-0.0463634
959,-0.0554068
960,-0.0437267
961,-0.0199129
962,0.0160804
963,0.050976
964,0.0580796
965,0.0308776
966,-0.00753576
967,-0.0351745
968,-0.0487423
969,-0.0458834
970,-0.0183984
971,0.0250859
972,0.0552256
973,0.0536968
974,0.029223
975,-0.00257295
976,-0.0358277
977,-0.0603719
978,-0.0568233
979,-0.0211795
980,0.0234414
981,0.0510725
982,0.055483
983,0.0419111
984,0.0107657
985,-0.0303789
986,-0.0583276
987,-0.0535414
988,-0.0222499
989,0.0131167
990,0.0390321
991,0.0517059
992,0.0425061
993,0.00782193
994,-0.034403
995,-0.0552712
996,-0.0459781
997,-0.0202158
998,0.0109214
999,0.0433235
1000,0.0619289
1001,0.0476217
1002,0.00537786
1003,-0.0350759
1004,-0.0539763
1005,-0.0534911
1006,-0.0357371
1007,0.00181472
1008,0.0445611
1009,0.062831
1010,0.0461506
1011,0.0130335
1012,-0.0185076
1013,-0.0444758
1014,-0.0560648
1015,-0.0377471
1016,0.00501591
1017,0.0416511
1018,0.051246
1019,0.0394628
1020,0.0158377
1021,-0.0185105
1022,-0.0520401
1023,-0.0595327
